recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
baked chicken nuggets,0.5420757823830114,0.7416198487095663,0.5196152422706632,0.6419371724190253,0.26021968740717083,0.2206052281036573,0.23664319132398462,0.6212889826803627,0.1781741612749496,0.3558089374931439,0.18257418583505536,0.37682887362833545,0.3333333333333333,0.0,0.7745966692414834,0.0,0.282842712474619,0.27386127875258304
baked chicken with peaches,0.20754980866510833,0.22360679774997896,0.47258156262526085,0.1683250823060346,0.27307769694983985,0.3178049716414141,0.0,0.7014271166700073,0.9759000729485332,0.061644140029689765,0.6191391873668903,0.2024845673131659,0.23570226039551584,0.0,0.8944271909999159,0.0,0.2598076211353316,0.1
baked haddock,0.49146562599887045,0.6708203932499369,0.5859465277082315,0.8075167696917095,0.3672290060127915,0.23804761428476162,0.18973665961010278,0.7443117626371357,0.3086066999241838,0.32588341473600646,0.0,0.43474130238568315,0.3333333333333333,0.0,0.7416198487095663,0.0,0.3872983346207417,0.3122498999199199
baked honey mustard chicken,0.23858557568108957,0.22360679774997896,0.47258156262526085,0.35118845842842467,0.27464262493023806,0.28751811537130434,0.2,0.7155417527999327,0.8544932592822077,0.22715633383201095,0.12909944487358055,0.17888543819998318,0.23570226039551584,0.0,0.8944271909999159,0.7071067811865476,0.2958039891549808,0.1224744871391589
baked mushroom thighs,0.7092791573681854,0.7416198487095663,0.6782329983125268,0.6013872850889572,0.3787196475343885,0.3109126351029605,0.2280350850198276,0.8831760866327847,0.4364357804719847,0.3355592347112504,0.0,0.40865633483405095,0.4714045207910317,0.0,0.9486832980505138,0.0,0.3570714214271425,0.33166247903553997
baked parmesan crusted chicken,0.6563301233138936,0.8944271909999159,0.6582805886043833,0.505799696849784,0.27307769694983985,0.21602468994692867,0.2,0.7496665925596525,0.1781741612749496,0.41400483088968904,0.22360679774997896,0.33763886032268264,0.3333333333333333,0.0,0.9219544457292888,0.0,0.2958039891549808,0.25
baked penne with italian sausage,0.7179029289427752,0.806225774829855,0.5228129047119374,0.8450838222724812,0.5084991923016482,0.44422216663887154,0.45166359162544856,0.7874007874011811,0.6666666666666666,0.503189825016365,0.5627314338711378,0.5974947698515862,0.5270462766947299,0.816496580927726,0.7416198487095663,0.0,0.4301162633521313,0.25
baked salmon ii,0.8935667509825657,0.6324555320336759,0.5,0.7173446405552447,0.43588989435406733,0.09831920802501752,0.1673320053068151,0.8520563361656317,0.0,0.2720294101747089,0.3872983346207417,0.29832867780352595,0.3333333333333333,0.0,0.9219544457292888,0.7071067811865476,0.3640054944640259,0.21213203435596426
baked scallops,0.5406548735632486,0.6708203932499369,0.541602560309064,0.4851975542669879,0.40952934658493734,0.2280350850198276,0.18973665961010278,0.7912016177940993,0.1781741612749496,0.39496835316262996,0.31622776601683794,0.363318042491699,0.23570226039551584,0.0,0.6324555320336759,0.0,0.5024937810560445,0.32015621187164245
baked sesame chicken,0.44893035265891923,0.5,0.5228129047119374,0.5389032071408247,0.27825989906663057,0.14023789311975088,0.2280350850198276,0.7362064927722385,0.0,0.1979898987322333,0.0,0.324037034920393,0.408248290463863,0.0,0.9219544457292888,0.7071067811865476,0.3840572873934304,0.22360679774997896
baked slow cooker chicken,0.6621642835894568,0.6324555320336759,0.687992248018343,0.23540744819709225,0.32337505867247796,0.025819888974716113,0.06324555320336758,0.8390470785361213,0.0,0.30495901363953815,0.22360679774997896,0.14491376746189438,0.3333333333333333,0.0,0.9746794344808963,0.7071067811865476,0.3122498999199199,0.17320508075688773
