recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,labels
coconut curry chicken and peanuts,0.3523076923076923,0.45,0.2466666666666667,0.03958333333333333,0.104,0.031000000000000007,0.11599999999999999,0.51,0.09523809523809523,0.0448,0.08333333333333333,0.047,0.1111111111111111,0.0,0.65,0.0,0.135,0.0825,339,-1.9156037240000008,3.7981419463198414,0.6035431294464483,0
cognac shrimp,0.13384615384615384,0.15,0.6066666666666667,0.11833333333333332,0.11714285714285715,0.02766666666666667,0.024,0.406,0.06349206349206349,0.146,0.18333333333333326,0.078,0.16666666666666666,0.0,0.35,0.0,0.115,0.035,276,-0.23464481333333365,4.256543692280122,0.9939848080115858,0
cola marinated sirloin steak,0.13384615384615384,0.15,0.21666666666666667,0.58,0.11171428571428572,0.027000000000000003,0.016,0.5539999999999999,0.15873015873015872,0.0002,0.016666666666666666,0.03,0.1111111111111111,0.0,0.55,0.5,0.085,0.0325,228,-1.757182209333334,3.8563408418095984,0.8023807919772583,0
condiment chops,0.2015384615384616,0.15,0.20666666666666667,0.18833333333333327,0.15571428571428572,0.02766666666666667,0.036000000000000004,0.494,0.15873015873015872,0.112,0.11666666666666667,0.048,0.1111111111111111,0.0,0.45,0.0,0.075,0.025,251,0.061919106666666474,4.1761059793334585,0.6183648941651266,0
connies sweet and sour christmas meatballs,0.09384615384615384,0.1,0.15333333333333332,0.17958333333333334,0.06257142857142857,0.057333333333333326,0.008,0.18600000000000005,0.4126984126984127,0.0496,0.06666666666666668,0.026,0.05555555555555555,0.0,0.2,0.0,0.035,0.035,160,-1.4194402480000003,4.385856215439732,0.5333459196816257,0
corn flake crusted halibut,0.13384615384615384,0.05,0.16,0.13416666666666666,0.15542857142857142,0.04633333333333334,0.016,0.5,0.06349206349206349,0.1086,0.05,0.023,0.2777777777777778,0.0,0.2,0.0,0.005,0.17,242,1.4391641653333334,4.263792157814897,0.9723033974060462,0
cornish game hens ricardo,0.32,0.2,0.25,0.020416666666666663,0.08257142857142857,0.013333333333333334,0.027999999999999997,0.272,0.031746031746031744,0.27,0.3666666666666665,0.043,0.1111111111111111,0.0,0.3,0.0,0.065,0.065,303,-0.9490104333333336,4.0256743814121485,0.9973951542712868,0
cornish hens with coffee liqueur sauce,0.4615384615384616,0.55,0.58,0.03583333333333333,0.12228571428571428,0.07433333333333332,0.04,0.526,0.6666666666666666,0.1084,0.3666666666666665,0.032,0.05555555555555555,0.0,0.6,0.0,0.07,0.03,530,-4.353668792,3.79312641056368,0.9565403100266918,2
corny spaghetti,0.12615384615384614,0.15,0.04,0.2679166666666667,0.27,0.18733333333333327,0.284,0.218,0.4126984126984127,0.1596,0.2,0.043,0.2222222222222222,0.0,0.5,0.0,0.1425,0.26,331,-2.9441808813333328,4.109817240334871,0.9997209303130239,1
country pie,0.3615384615384615,0.55,0.25666666666666665,0.605,0.17542857142857146,0.13533333333333333,0.132,0.486,0.19047619047619047,0.119,0.15,0.213,0.2777777777777778,0.0,0.6,0.0,0.1225,0.2625,473,-7.3806623866666685,4.321500203358484,0.8103738419360644,3
crab and mushroom enchiladas,0.32461538461538464,0.55,0.17,0.5670833333333334,0.09142857142857144,0.16799999999999998,0.12,0.37,0.19047619047619047,0.051,0.05,0.111,0.16666666666666666,0.0,0.3,0.0,0.1175,0.2,465,-7.94782488,4.1820806447827525,0.9817775556268741,3
